iata,latitude,longitude
AAN,24.2617,55.6092
AUH,24.433,54.6511
AYM,24.467,54.6103
AZI,24.4283,54.4581
DHF,24.2482,54.5477
XSB,24.2836,52.5803
ZDY,24.51,52.3352
FJR,25.1122,56.324
SHJ,25.3286,55.5172
DCG,25.2422,55.3314
DJH,24.989,55.0238
DWC,24.8964,55.1614
DXB,25.2528,55.3644
NHD,25.0268,55.3662
RHR,25.691,55.778
RKT,25.6135,55.9388
DAZ,38.4611,70.8825
FBD,37.1211,70.5181
KUR,37.752,-89.0154
KWH,37.883,70.217
SGA,37.567,71.5
LQN,34.985,63.1178
MZR,36.7069,67.2097
BIN,34.817,67.817
FAH,32.367,62.183
MMZ,35.9308,64.7609
GZI,33.5312,68.4129
SBF,33.3207,68.6365
CCN,34.5265,65.271
BST,31.5597,64.365
DWR,31.0,64.0
OAZ,31.8638,64.2246
HEA,34.21,62.2283
OAH,33.3913,62.261
ZAJ,30.9722,61.8658
GRG,33.6315,69.2394
KBL,34.5658,69.2131
KDH,31.5058,65.8478
TII,32.6042,65.8658
URZ,32.903,66.6309
KHT,33.3334,69.952
OLR,33.3638,69.9561
UND,36.6651,68.9108
OAA,33.9225,69.0772
JAA,34.3998,70.4986
OAS,33.1258,68.8385
URN,32.9318,69.1563
OAI,34.9461,69.265
TQN,36.7707,69.532
BBQ,17.6358,-61.8286
ANU,17.1367,-61.7927
AXA,18.2048,-63.0551
EVN,40.1473,44.3959
LWN,40.7504,43.8593
AZZ,-7.86222,13.1161
NBJ,-9.0491,13.5
BUG,-12.609,13.4037
CBT,-12.4792,13.4869
LLT,-12.3757,13.561
ANL,-11.4723,16.7109
SVP,-12.4046,16.9474
CAB,-5.59699,12.1884
VPE,-17.0435,15.6838
XGN,-16.7554,14.9653
NOV,-12.8089,15.7605
JMB,-14.6982,16.0701
SDD,-14.9247,13.575
CTI,-15.1603,19.1561
DRC,-17.9819,20.7681
SPP,-14.6576,17.7198
NDF,-9.27519,14.9772
CEO,-11.4264,15.1014
NDD,-11.1679,13.8475
PBN,-10.722,13.7655
LAD,-8.85837,13.2312
CFF,-8.78361,17.9897
DUE,-7.40089,20.8185
LBZ,-8.44573,20.7321
LZM,-9.11596,18.0493
NZA,-7.71694,21.3582
PGI,-7.35889,20.8047
VHC,-9.68907,20.4319
KNP,-9.76937,15.4553
MEG,-9.52509,16.3124
CAV,-11.8931,22.9164
CNZ,-13.7106,19.8611
GGC,-14.105,21.45
LUO,-11.7681,19.8977
UAL,-10.7158,22.2311
MSZ,-15.2612,12.1468
GXG,-7.75451,15.2877
UGO,-7.60307,15.0278
ARZ,-7.25944,12.8631
SSY,-6.2699,14.247
SZA,-6.14109,12.3718
TNM,-62.1908,-58.9867
AEP,-34.5589,-58.4164
BHI,-38.725,-62.1693
CPG,-40.7781,-62.9803
CSZ,-37.4461,-61.8893
EPA,-34.6099,-58.6126
EZE,-34.8222,-58.5358
JNI,-34.5459,-60.9306
LPG,-34.9722,-57.8947
MDQ,-37.9342,-57.5733
MJR,-38.2271,-57.8697
NEC,-38.4831,-58.8172
OVR,-36.89,-60.2166
OYO,-38.3869,-60.3297
PEH,-35.8446,-61.8576
SST,-36.5423,-56.7218
TDL,-37.2374,-59.2279
VGS,-35.0,-63.0
VLG,-37.2354,-57.0292
CTC,-28.5956,-65.7517
CNT,-27.2164,-61.2103
PRQ,-26.7536,-60.4922
RES,-27.45,-59.0561
ARR,-45.0136,-70.8122
CRD,-45.7853,-67.4655
EMX,-42.0292,-71.1725
EQS,-42.908,-71.1395
JSM,-44.0486,-70.4589
OLN,-45.5824,-68.9998
PMY,-42.7592,-65.1027
REL,-43.2105,-65.2703
ROY,-45.7039,-70.2456
COR,-31.3236,-64.208
LCM,-31.0058,-64.5319
RCU,-33.0851,-64.2613
VDR,-31.9452,-65.1463
AOL,-29.6894,-57.1521
CNQ,-27.4455,-58.7619
MCS,-30.2719,-57.6402
MDX,-29.2214,-58.0878
OYA,-29.1058,-59.2189
UZU,-29.7706,-57.9789
COC,-31.2969,-57.9966
GHU,-33.0103,-58.6131
PRA,-31.7948,-60.4804
CLX,-25.3036,-57.7344
FMA,-26.2127,-58.2281
LLS,-24.7214,-60.5488
JUJ,-24.3928,-65.0978
GPO,-35.6962,-63.7583
RSA,-36.5883,-64.2757
IRJ,-29.3816,-66.7958
AFA,-34.5883,-68.4039
LGS,-35.4936,-69.5743
MDZ,-32.8317,-68.7929
ELO,-26.3975,-54.5747
IGR,-25.7373,-54.4734
PSS,-27.3858,-55.9707
APZ,-38.9755,-70.1136
CPC,-40.0754,-71.1373
CUT,-38.9397,-69.2646
CVH,-37.8514,-71.0092
HOS,-37.4447,-70.2225
LCP,-38.0819,-70.6439
NQN,-38.949,-68.1557
RDS,-37.3906,-68.9042
BRC,-41.1512,-71.1575
CCT,-37.9102,-67.835
